uid,lat_fixed,lon_fixed,date,sat_date,abun,sensor,B2,B3,B4,B5,NDCI,NDWI
dnot,39.14193107883423,-95.47956935478972,20200629,2020-06-23,6.060999870300293,S2,986,1551,1990,2137,0.035619095,-0.22527473
fayw,39.0944728663224,-96.90461778765206,20141006,2014-09-26,0.9449999928474426,L8,9023,10196,10313,11178,0.040249407,-0.04594367
feuc,39.0944728663224,-96.90461778765206,20170828,2017-08-23,1.5750000476837158,S2,324,416,314,463,0.19176319,0.076326005
fieg,39.0944728663224,-96.90461778765206,20150810,2015-08-12,9.135000228881836,L8,8326,9650,9087,10515,0.072849706,-0.042896107
hhiq,39.0944728663224,-96.90461778765206,20140915,NONE,5.355000019073486,NONE,0,,,,0,0
hhzm,39.0944728663224,-96.90461778765206,20150908,2015-09-13,10.395000457763672,L8,9487,10338,10447,11167,0.033311743,-0.038549174
icyw,39.0944728663224,-96.90461778765206,20151026,NONE,8.883000373840332,NONE,0,,,,0,0
ikpp,39.0944728663224,-96.90461778765206,20150831,2015-08-28,16.065000534057617,L8,9160,10154,10137,10960,0.039010286,-0.038173724
ivyi,39.0944728663224,-96.90461778765206,20140804,2014-08-09,8.1899995803833,L8,22733,22102,22122,23988,0.040468443,-0.04091994
jokz,39.0944728663224,-96.90461778765206,20160705,2016-06-27,17.639999389648438,L8,10223,11674,12107,13496,0.054251455,-0.07238776
kmds,39.0944728663224,-96.90461778765206,20140811,2014-08-09,11.024999618530273,L8,22733,22102,22122,23988,0.040468443,-0.04091994
koiz,39.0944728663224,-96.90461778765206,20130903,2013-09-07,17.010000228881836,L8,8727,9612,9647,10947,0.063125186,-0.064935066
kyfx,39.0944728663224,-96.90461778765206,20150914,2015-09-13,19.21500015258789,L8,9487,10338,10447,11167,0.033311743,-0.038549174
lgkv,39.0944728663224,-96.90461778765206,20130722,NONE,18.270000457763672,NONE,0,,,,0,0
newr,39.0944728663224,-96.90461778765206,20150921,2015-09-13,13.166999816894531,L8,9487,10338,10447,11167,0.033311743,-0.038549174
oxoo,39.0944728663224,-96.90461778765206,20170905,2017-08-28,5.355000019073486,S2,160,253,229,414,0.28771386,0.007968128
piof,39.0944728663224,-96.90461778765206,20160808,2016-08-13,6.300000190734863,S2,320,486,387,524,0.15038419,0.18826406
ptwj,39.0944728663224,-96.90461778765206,20140929,2014-09-26,19.530000686645508,L8,9023,10196,10313,11178,0.040249407,-0.04594367
rfjt,39.0944728663224,-96.90461778765206,20150928,NONE,1.2599999904632568,NONE,0,,,,0,0
tcev,39.0944728663224,-96.90461778765206,20140602,NONE,1.2599999904632568,NONE,0,,,,0,0
xdtt,39.0944728663224,-96.90461778765206,20160718,NONE,2.3310000896453857,NONE,0,,,,0,0
yisq,39.0944728663224,-96.90461778765206,20140707,2014-07-08,17.639999389648438,L8,8909,9879,9710,10400,0.034311287,-0.025691602
xwur,38.0475249890849,-99.82633673449716,20171030,2017-10-27,18.270000457763672,L8,8755,9670,9709,11378,0.07914829,-0.08114785
zuvk,38.6486028928873,-97.01235412820435,20210719,2021-07-28,6.953000068664551,S2,359,498,365,416,0.0653009,0.24189526
bbct,39.40763107420486,-99.44667103440258,20190708,2019-06-30,6.929999828338623,S2,1641,1959,1782,1915,0.035975114,0.07401316
cxsd,39.40763107420486,-99.44667103440258,20180625,2018-06-27,1.5750000476837158,S2,302,595,423,598,0.17140059,0.2823276
krra,39.40763107420486,-99.44667103440258,20170905,2017-09-03,1.8899999856948853,S2,1621,2155,2745,3113,0.06282008,-0.25664023
nhaz,39.40763107420486,-99.44667103440258,20150720,2015-07-18,3.7799999713897705,L8,14074,16888,19230,23846,0.107159436,-0.17081554
