uid,lat_fixed,lon_fixed,date,abun,sensor,B2,B3,B4,B5,NDCI
dnot,39.14193107883423,-95.47956935478972,20200629,6.060999870300293,S2,986,1551,1990,2137,0.035619095
fayw,39.0944728663224,-96.90461778765206,20141006,0.9449999928474426,L8,9023,10196,10313,11178,0.040249407
feuc,39.0944728663224,-96.90461778765206,20170828,1.5750000476837158,S2,324,416,314,463,0.19176319
fieg,39.0944728663224,-96.90461778765206,20150810,9.135000228881836,L8,8326,9650,9087,10515,0.072849706
hhiq,39.0944728663224,-96.90461778765206,20140915,5.355000019073486,NONE,0,0,0,0,0
hhzm,39.0944728663224,-96.90461778765206,20150908,10.395000457763672,L8,9487,10338,10447,11167,0.033311743
icyw,39.0944728663224,-96.90461778765206,20151026,8.883000373840332,NONE,0,0,0,0,0
ikpp,39.0944728663224,-96.90461778765206,20150831,16.065000534057617,L8,9160,10154,10137,10960,0.039010286
ivyi,39.0944728663224,-96.90461778765206,20140804,8.1899995803833,L8,22733,22102,22122,23988,0.040468443
jokz,39.0944728663224,-96.90461778765206,20160705,17.639999389648438,L8,10223,11674,12107,13496,0.054251455
kmds,39.0944728663224,-96.90461778765206,20140811,11.024999618530273,L8,22733,22102,22122,23988,0.040468443
koiz,39.0944728663224,-96.90461778765206,20130903,17.010000228881836,L8,8727,9612,9647,10947,0.063125186
kyfx,39.0944728663224,-96.90461778765206,20150914,19.21500015258789,L8,9487,10338,10447,11167,0.033311743
lgkv,39.0944728663224,-96.90461778765206,20130722,18.270000457763672,NONE,0,0,0,0,0
newr,39.0944728663224,-96.90461778765206,20150921,13.166999816894531,L8,9487,10338,10447,11167,0.033311743
oxoo,39.0944728663224,-96.90461778765206,20170905,5.355000019073486,S2,160,253,229,414,0.28771386
piof,39.0944728663224,-96.90461778765206,20160808,6.300000190734863,S2,320,486,387,524,0.15038419
ptwj,39.0944728663224,-96.90461778765206,20140929,19.530000686645508,L8,9023,10196,10313,11178,0.040249407
rfjt,39.0944728663224,-96.90461778765206,20150928,1.2599999904632568,NONE,0,0,0,0,0
tcev,39.0944728663224,-96.90461778765206,20140602,1.2599999904632568,NONE,0,0,0,0,0
xdtt,39.0944728663224,-96.90461778765206,20160718,2.3310000896453857,NONE,0,0,0,0,0
yisq,39.0944728663224,-96.90461778765206,20140707,17.639999389648438,L8,8909,9879,9710,10400,0.034311287
xwur,38.0475249890849,-99.82633673449716,20171030,18.270000457763672,L8,8755,9670,9709,11378,0.07914829
zuvk,38.6486028928873,-97.01235412820435,20210719,6.953000068664551,S2,359,498,365,416,0.0653009
bbct,39.40763107420486,-99.44667103440258,20190708,6.929999828338623,S2,1641,1959,1782,1915,0.035975114
cxsd,39.40763107420486,-99.44667103440258,20180625,1.5750000476837158,S2,302,595,423,598,0.17140059
krra,39.40763107420486,-99.44667103440258,20170905,1.8899999856948853,S2,1621,2155,2745,3113,0.06282008
nhaz,39.40763107420486,-99.44667103440258,20150720,3.7799999713897705,L8,14074,16888,19230,23846,0.107159436
xtsy,39.40763107420486,-99.44667103440258,20150630,14.489999771118164,L8,17689,18175,18849,24361,0.12756306
zojf,39.44336185094611,-96.72952672568744,20130923,4.09499979019165,L8,8931,9711,9890,9537,-0.018170588
flse,38.280468428116905,-94.73378024449983,20181029,6.614999771118164,S2,135,246,280,518,0.2982456
jlkf,39.28077856743642,-96.63505621076912,20130923,0.6299999952316284,L8,9007,9904,9905,8311,-0.08750549
qczy,39.30552657828306,-96.65055604603091,20130923,3.6540000438690186,L8,9003,10026,10219,8321,-0.10237325
ndmi,39.69807016221999,-98.28161494756246,20150629,14.489999771118164,NONE,0,0,0,0,0
dmoi,38.38889147023144,-97.09306385727173,20150608,12.28499984741211,L8,8182,9971,9065,18120,0.3330881
