latitude,longitude,sample_date,satellite_date,precip_3d_mm,wind_speed_ms,solar_rad_wm2
37.263900406356534,-120.90599675388768,2021-12-13,2021-11-02,0.5,1.1,3.6374
37.263900406356534,-120.90599675388768,2021-12-13,2021-10-31,0.0,1.07,3.4121
36.772302351618336,-121.78800248315824,2021-12-29,2021-10-26,90.98000000000002,0.76,4.3195
36.79619867416375,-121.78199607403926,2021-12-29,2021-10-26,90.98000000000002,0.76,4.3195
34.406896393100055,-119.51700015304246,2021-12-16,2021-10-18,0.61,1.11,4.6649
37.263900406356534,-120.90599675388768,2021-11-29,2021-10-18,1.61,1.53,3.9475
35.246897390447145,-120.68199827156892,2021-12-14,2021-10-18,0.5,4.26,4.6829
34.41680005653976,-119.54400000992108,2021-12-16,2021-10-18,0.61,1.11,4.6649
35.320699971982734,-120.80600141276418,2021-12-14,2021-10-18,0.61,2.5,4.6829
34.955200835934924,-120.48699732340066,2021-12-15,2021-10-18,0.5,4.26,5.1137
34.67660066121668,-120.55300093719376,2021-12-16,2021-10-18,0.24000000000000002,6.38,5.1137
34.93539796815657,-120.35600231175358,2021-12-14,2021-10-18,0.5,4.26,5.1137
35.02280080790517,-120.58599828498926,2021-12-15,2021-10-18,0.5,4.26,4.6829
34.43839994204266,-119.90599875164192,2021-12-16,2021-10-18,0.42000000000000004,4.26,4.6649
34.44599825023773,-119.87599791975433,2021-12-16,2021-10-18,0.42000000000000004,4.26,4.6649
35.35749647387576,-120.81199444458,2021-12-14,2021-10-18,0.61,2.5,4.6829
34.94139991817451,-120.57300000541848,2021-12-15,2021-10-18,0.5,4.26,5.1137
35.01639753879242,-120.58599828498926,2021-12-15,2021-10-18,0.5,4.26,4.6829
35.124499525631116,-120.56900019177355,2021-12-14,2021-10-18,0.5,4.26,4.6829
34.97719758143157,-120.56999903040952,2021-12-14,2021-10-18,0.5,4.26,5.1137
36.03000025835226,-78.70667857865725,2021-12-14,2021-10-17,4.55,0.29,4.7374
36.03000025835226,-78.70568419912232,2021-12-14,2021-10-17,4.55,0.29,4.7374
36.03000025835226,-78.70717353887417,2021-12-14,2021-10-17,4.55,0.29,4.7374
